parent,name,scientific,rank,image_url
,Raubtiere,Carnivora,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Stud_327_with_Blesbuck.jpg/100px-Stud_327_with_Blesbuck.jpg
Raubtiere,Hundeartige,Caniformia,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Canis_mesomelas_vs._Arctocephalus_pusillus.jpg/100px-Canis_mesomelas_vs._Arctocephalus_pusillus.jpg
Hundeartige,Hunde,Canidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/NIEdot306.jpg/100px-NIEdot306.jpg
Hunde,Echte Füchse,Vulpini,Tribus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Vulpes_vulpes_standing_in_snow.jpg/100px-Vulpes_vulpes_standing_in_snow.jpg
Echte Füchse,Vulpes,Vulpes,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Vulpes_vulpes_laying_in_snow.jpg/100px-Vulpes_vulpes_laying_in_snow.jpg
Vulpes,Polarfuchs,Vulpes lagopus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Alopex_lagopus_qtl1.jpg/100px-Alopex_lagopus_qtl1.jpg
Vulpes,Rotfuchs,Vulpes vulpes,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vulpes_vulpes_1_%28Martin_Mecnarowski%29.jpg/100px-Vulpes_vulpes_1_%28Martin_Mecnarowski%29.jpg
Vulpes,Wüstenfuchs,Vulpes zerda,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Fennec_Fox_Vulpes_zerda.jpg/100px-Fennec_Fox_Vulpes_zerda.jpg
Echte Füchse,Marderhund,Nyctereutes procyonoides,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/%D0%95%D0%BD%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B0_%D0%93%D1%80%D0%BE%D0%B4%D0%BD%D0%BE_%28cropped_2%29.jpg/100px-%D0%95%D0%BD%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B0_%D0%93%D1%80%D0%BE%D0%B4%D0%BD%D0%BE_%28cropped_2%29.jpg
Hunde,Echte Hunde,Canini,Tribus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Mexican_Wolf_2_yfb-edit_1.jpg/100px-Mexican_Wolf_2_yfb-edit_1.jpg
Echte Hunde,Afrikanischer Wildhund,Lycaon pictus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lycaon_pictus_%28Temminck%2C_1820%29.jpg/100px-Lycaon_pictus_%28Temminck%2C_1820%29.jpg
Echte Hunde,Wolfs- und Schakalartige,Canis,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Canis_%28excluding_Lupulella%29.jpg/100px-Canis_%28excluding_Lupulella%29.jpg
Wolfs- und Schakalartige,Wolf,Canis lupus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Eurasian_wolf_2.jpg/100px-Eurasian_wolf_2.jpg
Wolfs- und Schakalartige,Kojote,Canis latrans,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/2009-Coyote-Yosemite.jpg/100px-2009-Coyote-Yosemite.jpg
Wolfs- und Schakalartige,Goldschakal,Canis aureus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Canis_aureus_syriacus_114837596.jpg/100px-Canis_aureus_syriacus_114837596.jpg
Hundeartige,Bären,Ursidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Ours_brun_parcanimalierpyrenees_2.jpg/100px-Ours_brun_parcanimalierpyrenees_2.jpg
Bären,Eigentliche Bären,Ursus,Gattung,not_found
Eigentliche Bären,Amerikanischer Schwarzbär,Ursus americanus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Schwarzb%C3%A4r-Omega_Park.jpg/100px-Schwarzb%C3%A4r-Omega_Park.jpg
Eigentliche Bären,Braunbär,Ursus arctos,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Kamchatka_Brown_Bear_near_Dvuhyurtochnoe_on_2015-07-23.jpg/100px-Kamchatka_Brown_Bear_near_Dvuhyurtochnoe_on_2015-07-23.jpg
